"age","workclass","fnlwgt","education","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
54,"Private",175912,"10th",6,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
40,"Local-gov",99679,"Prof-school",15,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,60,"United-States",">50K"
31,"State-gov",358461,"Some-college",10,"Never-married","Other-service","Not-in-family","Asian-Pac-Islander","Male",0,0,40,"United-States","<=50K"
63,"Self-emp-not-inc",344128,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
67,"Private",140849,"HS-grad",9,"Widowed","Other-service","Not-in-family","White","Female",0,0,24,"United-States","<=50K"
24,"Self-emp-not-inc",174391,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","<=50K"
55,"Private",132887,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",3411,0,40,"Jamaica","<=50K"
44,"Private",90688,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","Asian-Pac-Islander","Female",0,0,45,"Laos","<=50K"
49,"Private",163229,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
47,"Private",175990,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,30,"United-States",">50K"
34,"Private",207668,"Some-college",10,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,1887,40,"United-States",">50K"
30,"Self-emp-not-inc",113838,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",3137,0,60,"Germany","<=50K"
40,"Private",198452,"11th",7,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","<=50K"
18,NA,261276,"Some-college",10,"Never-married",NA,"Own-child","Black","Female",0,1602,40,"Cambodia","<=50K"
45,"Self-emp-not-inc",107231,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,45,"France","<=50K"
42,"Local-gov",97277,"Masters",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States","<=50K"
45,"Private",81534,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,84,"Japan",">50K"
41,"Private",306495,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States","<=50K"
33,"Private",119176,"Some-college",10,"Widowed","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
52,"Private",82285,"Bachelors",13,"Married-spouse-absent","Other-service","Other-relative","Black","Female",0,0,40,"Haiti","<=50K"
50,"Private",118058,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
20,"Private",241752,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
39,"Private",108419,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
26,"Private",261203,"7th-8th",4,"Never-married","Other-service","Unmarried","Other","Female",0,0,30,NA,"<=50K"
20,"Private",318036,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
22,"Private",141698,"HS-grad",9,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
21,"Private",185551,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,36,"United-States","<=50K"
34,"Private",405386,"Some-college",10,"Never-married","Craft-repair","Not-in-family","Black","Male",0,0,28,"United-States","<=50K"
23,"Private",250743,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
39,"Private",366757,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,35,"United-States","<=50K"
26,"Private",53598,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
33,"Private",132705,"9th",5,"Separated","Adm-clerical","Not-in-family","White","Male",0,0,48,"United-States","<=50K"
41,"Private",237321,"1st-4th",2,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico",">50K"
58,"Private",473836,"7th-8th",4,"Widowed","Farming-fishing","Other-relative","White","Female",0,0,45,"Guatemala","<=50K"
27,"Private",189462,"Masters",14,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,46,"United-States","<=50K"
70,"Self-emp-inc",207938,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2377,50,"United-States",">50K"
44,"Private",157249,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,1977,50,"United-States",">50K"
25,"Federal-gov",366207,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K"
25,"Private",267044,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","Amer-Indian-Eskimo","Female",0,0,20,"United-States","<=50K"
30,"Private",398662,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","<=50K"
71,"Private",138145,"9th",5,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
47,"Self-emp-not-inc",149116,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
35,"Private",90273,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,NA,">50K"
26,"Private",190330,"Bachelors",13,"Never-married","Other-service","Not-in-family","White","Male",0,0,30,"United-States","<=50K"
41,"Self-emp-inc",117721,"Some-college",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,65,"United-States","<=50K"
48,"Private",192779,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
36,"Private",174938,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1887,50,"United-States",">50K"
50,"Local-gov",169182,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,0,49,"Dominican-Republic","<=50K"
60,"State-gov",165827,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,60,"United-States",">50K"
20,"Private",159297,"Some-college",10,"Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,15,"United-States","<=50K"
39,"Local-gov",301614,"Assoc-voc",11,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,48,"United-States",">50K"
25,"Private",197871,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
37,"Private",127961,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
34,"Private",245487,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,45,"Mexico","<=50K"
64,"State-gov",223830,"9th",5,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States","<=50K"
46,"Private",261059,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United-States",">50K"
21,"Private",209483,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,47,"United-States","<=50K"
31,"Private",156743,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,76,"United-States",">50K"
57,"Self-emp-not-inc",35561,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,"United-States",">50K"
47,"Private",335973,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
24,"Private",109869,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States","<=50K"
53,"Self-emp-not-inc",192982,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,85,"United-States","<=50K"
48,"Private",273828,"5th-6th",3,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"Mexico","<=50K"
20,"Private",197752,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,16,"United-States","<=50K"
54,"State-gov",312897,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,46,"England",">50K"
29,"Private",146343,"HS-grad",9,"Never-married","Other-service","Unmarried","Black","Female",0,0,25,"United-States","<=50K"
40,"Federal-gov",178866,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,20,"United-States",">50K"
33,"Private",196898,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
55,"Self-emp-not-inc",271795,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"United-States","<=50K"
70,NA,230816,"Assoc-voc",11,"Never-married",NA,"Not-in-family","White","Male",0,0,30,"United-States","<=50K"
21,"Private",191460,"11th",7,"Never-married","Other-service","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
64,"Private",181232,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2179,40,"United-States","<=50K"
33,"Local-gov",224185,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
36,"Private",166606,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
31,"Private",152156,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States","<=50K"
34,"Private",100593,"Some-college",10,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,6,"United-States","<=50K"
29,"Private",214858,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K"
25,"Private",345121,"10th",6,"Separated","Other-service","Own-child","White","Female",0,0,25,"United-States","<=50K"
57,"Private",249977,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
39,"Private",284166,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,50,"United-States",">50K"
25,"State-gov",194954,"Some-college",10,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,15,"United-States","<=50K"
48,"Private",155659,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,"United-States",">50K"
53,"Local-gov",204397,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States","<=50K"
25,"Private",213383,"Some-college",10,"Never-married","Tech-support","Own-child","White","Male",0,0,40,"United-States","<=50K"
31,"Local-gov",168906,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States","<=50K"
37,"Private",323155,"1st-4th",2,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,85,"Mexico","<=50K"
42,"Local-gov",201723,"Some-college",10,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
52,"Federal-gov",192065,"Some-college",10,"Separated","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
47,"Self-emp-not-inc",479611,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
42,"Private",276218,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States",">50K"
23,"Private",126346,"9th",5,"Never-married","Other-service","Unmarried","Black","Female",0,0,30,"United-States","<=50K"
46,"Private",194698,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Male",0,0,60,"United-States","<=50K"
27,"Private",195678,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
22,"Local-gov",137510,"HS-grad",9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,40,"United-States","<=50K"
50,"Federal-gov",172046,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",">50K"
24,"Private",234460,"9th",5,"Never-married","Machine-op-inspct","Own-child","Black","Female",0,0,40,"Dominican-Republic","<=50K"
44,"State-gov",141858,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,75,"United-States",">50K"
52,"Private",202930,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States",">50K"
64,"State-gov",111795,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States",">50K"
53,"Private",238481,"Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1485,40,"United-States","<=50K"
37,"Private",239397,"10th",6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","<=50K"
34,"Private",248795,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
46,"Private",205504,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Male",0,0,20,"United-States","<=50K"
21,"Private",349365,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,15,"United-States","<=50K"
45,"Private",362883,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
43,"Private",159549,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
36,"Private",208068,"Preschool",1,"Divorced","Other-service","Not-in-family","Other","Male",0,0,72,"Mexico","<=50K"
24,"State-gov",154432,"Bachelors",13,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
40,"Private",248094,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States","<=50K"
38,"Private",234807,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,50,"United-States",">50K"
56,"Private",134756,"HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
57,"Private",298507,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",3103,0,40,"United-States",">50K"
22,"Private",106700,"Assoc-acdm",12,"Never-married","Adm-clerical","Own-child","White","Female",0,0,27,"United-States","<=50K"
44,"Private",291568,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","Other","Male",0,0,40,"United-States","<=50K"
80,"Private",86111,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,30,"United-States","<=50K"
45,"Local-gov",348172,"Bachelors",13,"Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",7298,0,40,"United-States",">50K"
25,"Private",171236,"HS-grad",9,"Divorced","Handlers-cleaners","Own-child","White","Female",0,0,40,"United-States","<=50K"
35,"Private",30673,"12th",8,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,84,"United-States","<=50K"
52,"Private",145081,"7th-8th",4,"Never-married","Machine-op-inspct","Not-in-family","Black","Female",0,0,40,"United-States","<=50K"
43,"Private",37402,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
40,"Local-gov",42703,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
31,"Self-emp-not-inc",265807,"Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",3137,0,50,"United-States","<=50K"
39,"Private",352248,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
31,"Private",37546,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1902,35,"United-States",">50K"
57,"Private",139290,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Male",0,0,38,"United-States","<=50K"
64,"State-gov",201293,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States","<=50K"
38,"State-gov",346766,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
25,NA,219897,"Masters",14,"Never-married",NA,"Not-in-family","White","Female",0,0,35,"Canada","<=50K"
31,"Private",113364,"Assoc-acdm",12,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,20,"United-States","<=50K"
46,"Local-gov",375675,"12th",8,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,35,"United-States",">50K"
32,"Private",151053,"Some-college",10,"Never-married","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
52,"Private",224198,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Female",0,0,48,"United-States","<=50K"
19,NA,137578,"Some-college",10,"Never-married",NA,"Own-child","White","Male",0,0,16,"United-States","<=50K"
61,"Private",270056,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"Japan","<=50K"
47,"Private",217750,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,35,"United-States","<=50K"
19,"Private",196119,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,35,"United-States","<=50K"
46,"Private",57914,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"United-States","<=50K"
19,"Private",194905,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,12,"United-States","<=50K"
44,"Private",192976,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,40,"United-States","<=50K"
51,"Private",280093,"HS-grad",9,"Separated","Adm-clerical","Other-relative","White","Female",0,0,40,"United-States","<=50K"
35,"Private",259846,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,55,"United-States","<=50K"
32,"Local-gov",114733,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,35,"United-States","<=50K"
36,"Local-gov",255454,"Bachelors",13,"Never-married","Protective-serv","Not-in-family","Black","Male",0,0,40,"United-States","<=50K"
22,NA,22966,"Some-college",10,"Married-civ-spouse",NA,"Husband","White","Male",0,0,6,"United-States","<=50K"
32,"Private",94041,"Assoc-voc",11,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,44,"Ireland","<=50K"
37,"Private",79586,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,40,"Iran","<=50K"
23,"Private",309580,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
30,"Private",182714,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"England","<=50K"
41,"Private",120277,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",">50K"
46,"State-gov",192779,"Assoc-acdm",12,"Divorced","Adm-clerical","Unmarried","White","Male",0,2258,38,"United-States",">50K"
26,"Local-gov",202286,"Bachelors",13,"Never-married","Tech-support","Own-child","White","Male",0,0,40,"United-States","<=50K"
47,"Private",121836,"Masters",14,"Married-civ-spouse","Adm-clerical","Wife","White","Female",7688,0,38,"United-States",">50K"
63,"Self-emp-not-inc",52144,"Some-college",10,"Widowed","Exec-managerial","Not-in-family","White","Male",0,0,35,"United-States","<=50K"
24,"Private",274398,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,20,"United-States","<=50K"
40,"Self-emp-not-inc",125206,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
22,"Private",324637,"Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,0,42,"United-States","<=50K"
31,"Private",235389,"7th-8th",4,"Never-married","Handlers-cleaners","Not-in-family","White","Female",0,0,30,"Portugal","<=50K"
31,"Federal-gov",207301,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
17,"Private",95909,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,12,"United-States","<=50K"
34,"State-gov",287908,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,42,"United-States","<=50K"
54,"Private",315804,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
18,"Self-emp-not-inc",29582,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States","<=50K"
45,"Federal-gov",170915,"HS-grad",9,"Divorced","Tech-support","Not-in-family","White","Female",4865,0,40,"United-States","<=50K"
26,"Private",371556,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
26,"Private",189238,"9th",5,"Never-married","Other-service","Own-child","White","Female",0,0,38,"El-Salvador","<=50K"
22,"Private",239612,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Male",0,0,20,"United-States","<=50K"
50,"Private",269095,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
45,"Private",83064,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
34,"Private",143582,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,35,"Japan","<=50K"
22,"Private",383603,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
24,"Private",187717,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
43,"Private",125461,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,65,"United-States",">50K"
25,"Private",57635,"Assoc-voc",11,"Married-civ-spouse","Sales","Wife","White","Female",0,0,42,"United-States",">50K"
35,"Private",30529,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
35,"Private",95551,"HS-grad",9,"Separated","Exec-managerial","Not-in-family","White","Female",0,0,36,"United-States","<=50K"
42,"Self-emp-not-inc",221172,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
56,"Private",155657,"7th-8th",4,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,20,"Yugoslavia","<=50K"
21,"Private",169699,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
72,"Local-gov",259762,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",2290,0,10,"United-States","<=50K"
28,"Private",119545,"Some-college",10,"Married-civ-spouse","Exec-managerial","Own-child","White","Male",7688,0,50,"United-States",">50K"
35,"Self-emp-not-inc",95455,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,55,"United-States","<=50K"
32,"Self-emp-inc",209691,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"Canada","<=50K"
29,"Private",149211,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States","<=50K"
32,"Federal-gov",454508,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
50,"Self-emp-not-inc",89737,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,48,"United-States","<=50K"
33,"Private",192002,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,60,"Canada",">50K"
